,Body,Tag
26,"I have been freelancing for more than a year now. It's been great in terms that I get paid decent amount for hours I have put in. My issue is I'd like to diversify risk and find new clients beyond these online sites.

My freelancing work has all come from oDesk, Guru, or Freelancer. How can I find clients outside the freelancing sites?
","['freelance-websites', 'attracting-clients', 'marketing', 'growth']"
27,"I am in the software development industry and I'm an experienced software engineer.

I am new to freelancing websites. The problem is I have zero rating and I can't get any projects even if I bid the lowest amount.

This in turn prevents me from getting any rating which prevents me from getting any new projects(even if I bid the lowest amount). 

I am stuck in this cycle.  How do I get my first job at a freelancing site? 

EDIT: Like most of you are mentioning,I tried the approach where I bid the lowest possible amount.The problem is there are many people with 5 star ratings(max ratings) that are offering to do the job with the lowest possible rate.So there's me with no ratings and lowest rates and there's others with max ratings and lowest possible rates.So at the end I don't get the project.
","['freelance-websites', 'growth']"
28,"I was working on an Android project. The client asked me to change the app design every few days, but it was very difficult to change the design in the middle of a huge project.

How would I deal with the client in such situations? Would making a contract and adding a clause at the start would be one way?
",['changes']
29,"I've been considering starting my own company or doing some freelance work.

I've heard through mainstream media that copyright law affects lots and lots of different types of work, especially the kind of creative work that I'm considering doing as a freelancer, but I really don't understand it all very well. It seems hopelessly complex to me. In the USA, I guess I have to register my work with the Library of Congress or the US Register of Copyrights or something in order to be able to own the copyright in my work, but I'm really not sure.

Is there any definitive source that I can go to for trying to get a better understanding of copyright law? If so, please answer with specifics.
","['legal', 'usa', 'copyright']"
30,"I am creating an online education portal for a client who pays on time and likes the work which I'm doing but after a day he says ""Hey, I liked the work you did to the ABC section but after discussing with my partner/adviser I realized that without XYZ, ABC would not look nice and much functional.""

Let me explain one situation: The website has a forum. The full layout of the forum was discussed and approved with the client before the starting of the project. Now when it has been created, he says to add a star-rating system in every comment. Now I have to create another module for this which will consume extra time and effort without money as this is a fixed-cost project.

So how do I deal with this type of clients such that they are satisfied as well as I get paid well?
",['scope-creep']
31,"Advertising has a lot of effect in attracting big clients to a business. Is there a way (conventional or unconventional) to advertise myself as a freelancer so that I can attract good clients and bigger projects.

Note: No answers should be related to any freelancing sites.
","['attracting-clients', 'advertising']"
32,"As a self-employed person working for a client (e.g. creating a website), you have a bus factor of 1:


  The bus factor is the total number of key developers who would need to be incapacitated (as by getting hit by a bus/truck) to send the project into such disarray that it would not be able to proceed; the project would retain information (such as source code) with which no remaining team member is familiar.


If something happens to you, the client might have a problem.


The work might not be finished. What if the client already (part) paid for it? What if the client hasn’t yet received login passwords etc.?
The work might be finished. What if the project is so complex that the client can’t simply hand it over to someone else? What if the website runs on your server? What if you registered the domain?
You may have signed a NDA. What if your heirs stumble upon sensitive data of your client?
(… What else to consider?)


How can we prepare for it?
",['client-support']
33,"I'm a freelance developer who started over 20 years ago. I need to improve my ability to avoid clients that can be considered a bad use of my time. So I'm asking you (developer or not): what is the most important consideration that you keep in mind when a new client knocks on the door, to decide whether you'll accept them or not?

In short, how do I know when a customer is not worth my while?
",['evaluating-clients']
34,"How can I screen potential clients to remove those most likely to give me more trouble than they are worth?

(This is a generic question, anyway my area of expertise is software development)
",['evaluating-clients']
35,"I'm currently taking on one or two odd jobs, but without formal contracts. While these two in particular won't likely require contracts, I still would like to present one.

Is there a particular guideline to how formal/informal a contract should be? While my plan is to make it informal enough for the client to not need a lawyer to decipher it, I'd still want it to be enforceable. Also, would it be worth it to have two templates depending on the client: one formal, one less formal?

Currently, I have the following sections:


Definition of Parties
Brief Description
Time Spent (max hours before re-evaluation)
Cost
Post-Project Support
Penalties on Breach by Either Party
Signatures

",['contracts']
36,"When a new freelancer works with a small client, neither party may have experience with contracts. This community wiki provides starting points they can use to think through the issues that should be covered in a good contract and begin with much of the text already written.

These starting points are intended to be especially helpful where the size of project or other concerns do not raise to the level of requiring professional legal assistance. In any event, both parties will want to carefully review the contracts and customize according to their needs; still, having a good starting template sets an initial direction and saves a lot of work.
",['contracts']
37,"Freelancing has its advantages - don't get me wrong; however, many people want to be reassured that they are dealing with a big company. Since I can't possibly provide this, how can I mitigate these problems?


I know my finances are sound, but how can I reassure the client that I am not going to disappear tomorrow?
How can I word contracts so they don't appear to come from single person, yet aren't deceptive?
Is it ok for me to ""hide"" that I am, ultimately, small time, even though I pour my heart and soul into this?

","['contracts', 'attracting-clients']"
38,"Do I need to file taxes quarterly if I am self-employed (no matter what), or are there circumstances in which I can file at the end of the year?

For example, if I were employed at another job for which I had taxes withheld, especially if the withheld amount is greater than the owed amount. Is it still required? If so, could I file for both quarterly (and not pay anything) to keep as much in assets as I can?
","['usa', 'taxes']"
39,"I was recently invited to bid on a mobile development contract for a company in South Africa.  After doing my research of firms that are local to South Africa, I'm noticing that my hourly rate is about 30% higher than the locals.

My question is, should I reduce my hourly rate to be more competitive with the local firms or should I justify my hourly rate?  I was invited to bid on this contract so I assume the company knows of my work and is considering me as a candidate due to the quality of said work.  Also, I don't know if any local firms are even bidding against me on this contract so I might be screwing myself if I lower my rate.

In support of a simple yes or no answer, I'm looking for case studies on rate adjustment in foreign markets to justify that answer.  I am based in the US and this is my first contract bid for a company outside the US.
","['pay-rate', 'foreign-markets']"
40,"I am a starting freelancer in the webdevelopment sector. I focus on both personal or one-man business full websites and websites for advanced users for which I write plugins or add features (but don't build the whole site). 

I would like to know if there is any rule of thumb for determining whether you should use a fixed-price or a price per hour for these clients. For now, I'm using fixed prices because it adds clarity for both parties.

For the second type, fixed prices are fine. There is a clear functional design and I can estimate the time I'd need for it. For the client, a fixed price is good: they get what they want and they know how much it costs, unlike employees of which you don't know what you get for how much.

The first type doesn't have any knowledge of programming, most of the time, and doesn't know how much time the development of the product will take. A price per hour may seem useless to them. So if I'd use a price per hour, I'd have to give my clients at least a rough estimate of the time I'd need. This isn't a major problem, I can do that.  

What I'm more worried about is that, since those clients don't have knowledge of the subject, they cannot provide me with a good functional design. Most of the time it's more like ""can you make that somewhat lighter"" and such. I'm fine with all these minor tweaks, but it takes a lot time, especially contact-with-customer time. Therefore, I would be much happier to use a price per hour. However, that might destroy the good relationship with the client, as he would have in his mind that every minute costs money.  

A solution would be to make a functional design or layout before starting developing, and use a fixed price. However, I don't think I want that. For these clients, it's very hard to make up a nice layout without actually seeing it on the website. This would result in bad products.

So, how can I avoid this problem? Should I use a fixed price or price per hour for these clients and what should I do to deliver a good product and keep a good relationship with the client?
","['price-per-hour', 'fixed-price']"
41,"I’m a night owl. I’m most productive/creative at night. I go to bed in the morning and sleep until late afternoon.

Being self-employed, this gives only a small timeframe for contact with clients, as they all follow the ""tradtional"" working time.

I guess you’d have similar problems working in different time zones. However, this is typically known by the client when they hire you. But they usually don’t know anything about your sleep-wake rhythm. 

Should I communicate that I’m a night owl? I fear that this might deter clients to hire me.

Or should I try to find solutions without mentioning my sleep-wake rhythm? Maybe to ask for using e-mail or voice-mail (asynchronous conversation) instead of telephone (synchronous)? Would this work? Appointments for meetings/telephone calls could be made per e-mail resp. voice-mail then. I fear that most clients might not like this way as they are used to grab the telephone as soon as they have something in their mind, and they expect you to answer the call immediately or shortly.  
","['time-management', 'communication']"
42,"If I have a client who is interested in bartering their goods or service for my service, how would I propose negotiations that would protect myself, my client, and my work?

The client is offering to barter the construction of a hand made guitar in exchange for a web site that I will be building alone.

Since there is no plan for cash to change hands, the value of services seems hard to quantify. How should I write out a contract that ensures proper delivery of goods and services on both ends? Also, should I take into account any taxes, even though no money is changing hands?

The entire transaction will take place in the state of New York in the US.
","['usa', 'negotiation']"
43,"Can I claim the use of home as office allowance if the work that I perform there is (currently) unpaid? I am currently working on a web project that I'm developing in my office at home. I'm spending a significant portion of my week working on the project, but it's out of hours (usually 4-6 hours per evening and some time on the weekend). So it's a high sum total of weekly hours, but it isn't my day job (I'm working in a contract for a client during the day) so I'm wondering whether I would be able to claim the allowance or whether it's simply a red flag that it isn't worth waving?
","['legal', 'expenses', 'uk', 'hmrc']"
44,"There are many options available for accepting payments (Paypal, Authorize.Net, personal/business check, escrow, etc.).

Is there a good way to decide which option (or combination of options) should be used to reflect professionalism as well as protect the freelancer and client?
",['payment-terms']
45,"What is the effect of being employed full-time for longer period of time on finding job as contractor afterwards?

As far as I know, when companies are looking for contractors, many short- and medium-time projects are an advantage, especially when someone was a contractor then. But if someone has a few years experience as contractor, and then works as employee for, say, 5 years, would it be evaluated negatively? In Poland I've met with negative attitude for people working as employees in contractor industry (they were considered claiming, too security-oriented and inflexible). 

Should I expect the situation, than when another candidate with similar experience will be taken into account, but he will have only contractor positions in his CV, he would be preferred?

I'm especially interested in Western-European realities.
","['contracts', 'eu']"
46,"I am working as a Software Engineer, but I want to add to my pay by freelancing.
What is the best way to find clients in my own city? I am open to doing small projects (like for schools or small businesses), but how do I ask them if they want any projects when they are not advertising anything?

How do I approach people in this situation?
",['attracting-clients']
47,"I am an indy dev, and am wondering how much time I should spend developing open source components that might have a large user base, in order to increase my visibility.

I have been developing iOS apps for over half a year, have a gig at an undisclosed startup, and have 4 apps currently in the app store. Being only 18, however, I have had a lot of trouble finding work that pays above minimum wage, and none of my apps have been a runaway success.

I recently have spent two nights working on FDWKit, but I don't know if I want to spend the time to perfect it if there is little or no potential payoff. I know many indy devs have gained a lot of notoriety from successful open sources components, but I don't know if I am in a position to be one of them.
","['programmer', 'advertising']"
48,"I'm just getting started as a freelance author and it seems like I'm not getting enough attention from editors to make this financially viable as an exclusive arrangement, so I'd like to build up my reputation in the best ways possible.

It seems to me that I should be trying to write as much as I possibly can on as many different topics as possible, but as I think about it more carefully tonight, I wonder if that's really the best plan after all.

The essence of my question is: ""To draw more well-paying jobs, should I try to be a generalist and write about everything and anything, or should I be more of a specialist, maybe writing a weekly column on one subject area?"" Please justify your answer with first-hand experiences, cogent arguments, and examples on why you think one plan is better than the other.

I realize that this is a subjective question, but I nonetheless think it is still definitively answerable provided that the answer follows the guidelines for good subjective Q&amp;A here.
",['writing']
49,"In my city there are many shops that don’t have a website. I’d love to explain why they should have one and offer my service to them.

However, I’m unsure how to approach them. If I’m a regular customer, it’s no big deal. But I don’t visit most of these shops regularly.


I could cold call. Feels kind of shady to me (maybe because it’s forbidden to cold call private persons in my country). 
I could write them a letter. But wouldn’t this be too formal? Where begins unwanted advertisment?
I could just enter the shop and talk to them. But I’d probably catch an employee. Even if it would be the shop owner, might he/she feel overwhelmed? Is it considered rude?


How should I approach them? Anything important to keep in mind when doing so?
",['attracting-clients']
50,"Take for example a (software development) project that has been estimated by the freelancer as N hours on a pay-per-hour contract. 

From the perspective of the commissioner, how much buffer should be allocated to the estimate and What happens when this buffer is exceeded?

Similarly, how should the freelancer handle a situation where he/she expects to be far over the estimate. Should the freelancer take the hit and complete the excess for free, or should this be re-budgeted with the commissioner?

So to summarize: When the freelancer has exceeded the estimated effort, who funds the rest of the project, freelancer, commissioner, or both?

Additional notes:
@jmort253 posted a strong answer to this very similar question. I'm looking for responses covering the perspective of both the provider and the client. What should the freelancer do to reduce costs on underestimations? What should the commissioner do to reduce costs on underestimations? How can this end with both parties happy (and each getting best value out of the other)?
","['time-management', 'overtime', 'negotiation', 'price-per-hour', 'payment-terms']"
51,"I had this case once where I delivered a test release to an employer to show if it met his requirements. He paid a few rates for this work.

In the following months, I got a few calls to change parts of the program. After finishing the program and giving it to him, he began paying the remaining rates. But after some times the payment stopped at the last rate. It's not much money, I talked to him about it and he immediately paid. 

But suppose an employer is not so honest. Is an implementation of some security features (e.g. implementing a time limit, which restricts features) a way of making sure an employer pays? Or do I just have to trust the employer? 
",['payment-terms']
52,"Many freelancers charge their clients by the hour, and many others charge their clients a fixed price for the project. 

I've worked on a few contract projects on the side and have only charged a portion of one phase of a project using a fixed price. It was my first project, and I grossly underestimated, but the client was willing to pay by the hour after the first phase of the project.

Nowadays, I always charge by the hour, but now that I have more experience and can put together better estimates, I now have the following question:  

What should I look at to determine whether or not I should charge by the hour on a project or by fixed price?
","['pay-rate', 'payment-terms', 'price-per-hour', 'fixed-price']"
53,"You have already established a proposal to your target clients/business, and someone from them already acknowledged your proposal. Next, you must determine how to keep the ball rolling by finding a way to talk to the decision makers. 

How can one move forward and get in touch with a decision maker, such as the owner, CEO, CFO, or other person capable of making a decision?
",['proposal']
54,"If I wish to start freelancing with the sole purpose of providing support services (in this case, IT), to Charities and Nonprofits what are the possible options under which I can provide these services?

If we work under the assumption that I myself don't intend to make any profits out of this venture:


Is there a specialised form of business/employment for this purpose?
I currently operate as a sole-trader with books showing zero profit. Is this a problem? (It's not faked!)
What are the implications on National Insurance, as it is still payable out of my pocket, which means that I am taking a hit for it? Are there exemptions?


Myself and the consumers are based in the United Kingdom, so I'd prefer specific answers, but welcome all constructive points of view.



Another question which addresses similar issues: Donating my work to charitable organizations without incuring legal liability?
","['uk', 'taxes', 'nonprofit']"
55,"From time to time I’d like to work for free for local charitable organizations.

I wonder how I could/should do this? (If this depends on the country, I’m interested in Germany.)


bill my work as usual, let them pay me and donate the money back to them?
create a bill with 100% discount (sum = 0)?
don’t create a bill at all?


I don’t think it will be needed, but just to make sure: I don’t want to be liable for anything that could result from my work. For example, when I install a security update for their websites’ CMS and it contains a bug so that they can no longer send mails or whatever. When I get paid for my work, I’ll make sure to fix it as soon as possible. But when I donated my work, I don’t want to have to fix it. How would this be possible? Could I add a clause in my offer? What should it contain? 
",['nonprofit']
56,"How should an independent contractor's resume differ from that of a candidate seeking a permanent position?

Are there things that should be emphasized on a resume for an independent contractor?

Are there typical sections or kinds of information that should not be included on the resume for an independent contractor?

Finally, assuming one isn't a published book (or software) author, a celebrity blogger, or another widely-recognized industry expert, how might an independent contractor ""get away with"" not needing to have a resume?
","['marketing', 'resume']"
57,"I was approached some time back by a recruiter who had a 1-week contract opportunity.  I'm guessing the client anticipated a quick fix to a single problem.  Anyway, the rate quoted by the recruiter was low, even for a typical length contract for that kind of work.  I declined to proceed on the basis of being unavailable at the time and didn't mention the lowball rate.

Still, it got me thinking:  Shouldn't the hourly rate increased for a shorter-term contract?  What are the rationalizations for doing so (to explain it to the recruiter and/or client), and is there a rule of thumb for how much more to charge based on how short a contract is?
","['pay-rate', 'negotiation']"
58,"I have recently been asked how much accounting knowledge someone should have when becoming self-employed.  I am somewhat biased since I write accounting software, and so I am afraid of overestimating what I would recommend.

My initial thought was to recommend that one learns enough accounting to keep one's own books generally, and also enough to have intelligent conversations with accountants.  My thinking was that this provides enough that such an individual could keep his/her own books and thus not worry about a bookkeeper taking advantage of a clueless owner.  My initial instinct is to recommend buying a few accounting textbooks (second-hand is fine) as reference material.

Is this recommendation over the top though?  Is this just my bias speaking? 
","['consulting', 'accounting']"
59,"I am currently contracting at an educational establishment and wondering about the legal implications of taking advantage of the educational discounts offered by some of the larger retailers such as Apple. As a UK based contractor I'm thinking about the view that would be taken by HMRC and whether it could be seen as an indication of employment, and therefore count against me for IR35. I'm erring on the side of steering clear so as not to raise any red flags further down the line, in the event of an investigation. Am I being overly cautious?
","['legal', 'uk', 'hmrc']"
60,"A number of my recruiter contacts recently drew my attention to the fact that a CV was doing the rounds that was effectively my CV with a different name and part of someone else's CV tacked onto the bottom. We don't know who is actually behind it but whoever it is has been applying for roles using this CV. As for why, we have a hypothesis that it's a recruiter trying to get the inside track on active roles but this is only a hypothesis.

As a seasoned contractor, I am concerned about the effect this could have on my reputation if recruiters/clients get my CV landing on their desk as well. Are there any steps I can take to help mitigate against negative effects upon my business?
","['legal', 'copyright', 'resume']"
61,"In the UK, HMRC have created some tests to determine whether you are in business of your own account, one of which is that you have a business plan that gets updated regularly. Initially in response to this I started writing one but haven't got very far with it. I been working for myself successfully for a few years now without having a business plan and am wondering whether I should even bother? Legalities aside, what advantages or extra opportunities might having a business plan in place bring to a freelance business?
",['business-plan']
62,"When arranging to do work remotely, how can you verify that the client is legitimate and that you can trust them with your personal tax ID (social security number in the US)?

In the US, employers are required to get your tax ID if they want to deduct the amount they pay you from their income, so it's reasonable for them to request it.

All of the remote work I've done so far has been for clients that were vouched for by someone that I trusted. In some of those cases, the client wouldn't make any payments until I sent them my Tax ID.

This question is specifically about dealing with a situation where you don't know anything about the client. For example: 


You reply to a listing they posted on a job site.
They contact you on your site or through a site where you've posted your resume.
They are not a large company with an easy to verify existence and history.
They are a small company, which may have been founded 10 years or 10 months ago.


So what do you do when a new client wants your tax ID before they will make any payments?

Is it reasonable to ask the client for references? If so, what kind of references and how should they be verified?

Some possible reference types I've thought of:


People who've worked for them.
Some of their clients/customers.
The bank where they maintain their business account.


I realize that there's a certain amount of trust required on the part of both parties when doing remote work, but how do you go about minimizing the risks of giving out your tax ID?
","['taxes', 'usa', 'remote']"
63,"I've been asked to produce a report for clients that shows that I was working on their project for the number of hours that I bill them for. How could that be achieved? The client is familiar with oDesk and asked that I create a similar report.

The system at oDesk has the following features:  


Recording of keystrokes per time increment.  
Screenshots taken at set intervals.


How can I create such a report using data that wasn't generated or altered by me?

I'm not asking if you would work under such conditions. I'm asking if there is a way to achieve this functionality?
","['remote', 'time-tracking']"
64,"There are several benefits to writing a business plan, but as someone who never wrote one up, I would like to know, for a small, one man business:


How should I approach writing one?
What should it include?
What shouldn't it include?
What scope/size should it be?

",['business-plan']
65,"Making a good first impression is important. As a stranger from your target client, what are the good points to include in your introduction and what are the bad ones to avoid? Are there indirect and direct approaches on building a connection that will prevent you being seen as on a hard sell?  
",['attracting-clients']
66,"If you plan to be involved in a project that is relatively big, costs a large amount of money, and extends for over a month, what kind of guarantees and planning ahead do you need to do to protect yourself, as an employer or as a freelancer?

There will be a lot of time spent, a lot of money involved, and possibly some small changes in plans as the project progress.

How would I prepare for such project?
","['contracts', 'legal']"
67,"I'm running a relatively small one-man business in the software sector. I just started and am trying to create a larger portfolio. For that, I offer some friends free services. 

I found a few reasons to send these clients €0,- invoices, mostly similar to the reasons to send 100% discount invoices to charity funds that I gave here:


Clarity about what has to be done and when 
No transfers (as I would have with a 0% discount bill and returning the money as a gift)


And also:


With an invoice I have more distinguishable clients which makes that I have more chance on getting a better certificate from the state (doesn't matter how it exactly works, this is an advantage)


Suppose that these clients won't have a problem with the €0,- invoices, could there be any reason for me to not send them?

I ask this, because I've never seen people sending invoices like this, and I can only see advantages.
","['invoices', 'portfolio', 'friends-services']"
